German,English
der,the
und,and
ich,I
sie,she/they
das,that
ist,is
du,you
nicht,not
ein,a/an
haben,to have
er,he
werden,to become
es,it
auf,on
mit,with
können,can
eine,a/an
auch,also
sein,to be
an,at
als,as
für,for
von,from
nach,after
bei,at
den,the
zu,to
wie,how
über,about
so,so
aus,out
man,one
aber,but
oder,or
was,what
mein,my
sich,oneself
ihr,her/their
nur,only
noch,still
wenn,if
bis,until
mehr,more
durch,through
auch,also
schon,already
vor,before
hatte,had
da,there
ihn,him
dieser,this
alle,all
ihrer,their
zwischen,between
war,was
einem,a
ihm,him
worden,become
jetzt,now
hat,has
gegen,against
nun,now
oder,or
bei,at
ihnen,them
während,during
machen,to make
